#Parameters = {xrot=0; Er=1; alpha=0; phi=0; theta=0; x=11812.67}
#"Frequency / GHz"	"RCS (Cartesian) (0.0 0.0 100)(Abs) [pw] (xrot=0) [Magnitude in dB]"
#--------------------------------------------------------------------------------------
8.2960000000000	-36.982599395191
8.3150000000000	-36.641322213933
8.3340000000000	-35.935628001430
8.3530000000000	-35.058727796214
8.3720000000000	-34.153588677490
8.3910000000000	-33.294421019623
8.4100000000000	-32.509574546774
8.4290000000000	-31.804996315107
8.4480000000000	-31.178400191132
8.4670000000000	-30.625730595118
8.4860000000000	-30.142999710108
8.5050000000000	-29.726027658120
8.5240000000000	-29.369850934305
8.5430000000000	-29.068748500995
8.5620000000000	-28.817055431996
8.5810000000000	-28.610349905564
8.6000000000000	-28.446359609989
8.6190000000000	-28.325099750285
8.6380000000000	-28.248209516933
8.6570000000000	-28.217909896753
8.6760000000000	-28.236187100448
8.6950000000000	-28.304635940212
8.7140000000000	-28.425008443127
8.7330000000000	-28.600123366869
8.7520000000000	-28.834595197103
8.7710000000000	-29.134932020079
8.7900000000000	-29.508873074931
8.8090000000000	-29.964193568221
8.8280000000000	-30.507384756064
8.8470000000000	-31.142520097316
8.8660000000000	-31.870259128589
8.8850000000000	-32.686367834258
8.9040000000000	-33.578403445418
8.9230000000000	-34.518580103236
8.9420000000000	-35.451440734437
8.9610000000000	-36.280201910860
8.9800000000000	-36.869757867117
8.9990000000000	-37.094597457611
9.0180000000000	-36.918944592489
9.0370000000000	-36.423825613808
9.0560000000000	-35.744321350558
9.0750000000000	-34.996091116019
9.0940000000000	-34.250187203183
9.1130000000000	-33.541794265967
9.1320000000000	-32.885674386232
9.1510000000000	-32.287003213381
9.1700000000000	-31.746620260868
9.1890000000000	-31.262765090250
9.2080000000000	-30.831472202762
9.2270000000000	-30.447027477512
9.2460000000000	-30.102973231678
9.2650000000000	-29.793415946248
9.2840000000000	-29.514036880230
9.3030000000000	-29.262310589000
9.3220000000000	-29.036884547386
9.3410000000000	-28.836554826085
9.3600000000000	-28.659471200582
9.3790000000000	-28.503015369474
9.3980000000000	-28.364361707032
9.4170000000000	-28.241316507528
9.4360000000000	-28.132877912451
9.4550000000000	-28.039156002050
9.4740000000000	-27.960714185574
9.4930000000000	-27.897759818776
9.5120000000000	-27.849689908328
9.5310000000000	-27.815256846124
9.5500000000000	-27.793225322595
9.5690000000000	-27.783087290035
9.5880000000000	-27.785372982322
9.6070000000000	-27.801363345441
9.6260000000000	-27.832398782358
9.6450000000000	-27.879233107397
9.6640000000000	-27.941842655421
9.6830000000000	-28.019807398709
9.7020000000000	-28.113020702769
9.7210000000000	-28.222276169219
9.7400000000000	-28.349356262705
9.7590000000000	-28.496565944757
9.7780000000000	-28.666009814249
9.7970000000000	-28.859073291154
9.8160000000000	-29.076441445966
9.8350000000000	-29.318657465247
9.8540000000000	-29.586883184975
9.8730000000000	-29.883380171493
9.8920000000000	-30.211382322447
9.9110000000000	-30.574399297277
9.9300000000000	-30.975345403204
9.9490000000000	-31.416007154940
9.9680000000000	-31.897168184339
9.9870000000000	-32.419296314484
10.006000000000	-32.983270587969
10.025000000000	-33.590424983885
10.044000000000	-34.241362369357
10.063000000000	-34.933484563311
10.082000000000	-35.657734782718
10.101000000000	-36.395406108703
10.120000000000	-37.115963547204
10.139000000000	-37.776775611982
10.158000000000	-38.325725688227
10.177000000000	-38.708083298999
10.196000000000	-38.878848123783
10.215000000000	-38.818365061320
10.234000000000	-38.542561606633
10.253000000000	-38.098488112694
10.272000000000	-37.546760264901
10.291000000000	-36.942870415564
10.310000000000	-36.326953267503
10.329000000000	-35.722851090229
10.348000000000	-35.142416823498
10.367000000000	-34.590912929276
10.386000000000	-34.071021606140
10.405000000000	-33.584649258796
10.424000000000	-33.132957035514
10.443000000000	-32.715687268284
10.462000000000	-32.330805181771
10.481000000000	-31.974935461932
10.500000000000	-31.644419282440
10.519000000000	-31.336393039782
10.538000000000	-31.049285816137
10.557000000000	-30.782513727521
10.576000000000	-30.535652281334
10.595000000000	-30.307659677161
10.614000000000	-30.096637208741
10.633000000000	-29.900237646703
10.652000000000	-29.716418108748
10.671000000000	-29.544030685858
10.690000000000	-29.382870984027
10.709000000000	-29.233173428119
10.728000000000	-29.094902219481
10.747000000000	-28.967301414501
10.766000000000	-28.848978678882
10.785000000000	-28.738443354523
10.804000000000	-28.634728910906
10.823000000000	-28.537685106596
10.842000000000	-28.447753858166
10.861000000000	-28.365389722396
10.880000000000	-28.290514971981
10.899000000000	-28.222363582948
10.918000000000	-28.159804226918
10.937000000000	-28.101917302789
10.956000000000	-28.048437734354
10.975000000000	-27.999770185535
10.994000000000	-27.956573605476
11.013000000000	-27.919199179413
11.032000000000	-27.887356323317
11.051000000000	-27.860222729783
11.070000000000	-27.836918348503
11.089000000000	-27.817023266694
11.108000000000	-27.800792421240
11.127000000000	-27.788925950902
11.146000000000	-27.782053797544
11.165000000000	-27.780281786466
11.184000000000	-27.783100140788
11.203000000000	-27.789711698850
11.222000000000	-27.799558225185
11.241000000000	-27.812691135557
11.260000000000	-27.829737401713
11.279000000000	-27.851484803681
11.298000000000	-27.878366456324
11.317000000000	-27.910189436727
11.336000000000	-27.946287568663
11.355000000000	-27.985996064321
11.374000000000	-28.029130196488
11.393000000000	-28.076144991680
11.412000000000	-28.127866350424
11.431000000000	-28.184973271151
11.450000000000	-28.247578212978
11.469000000000	-28.315187006866
11.488000000000	-28.387067788839
11.507000000000	-28.462785139334
11.526000000000	-28.542540506535
11.545000000000	-28.627085306269
11.564000000000	-28.717260170071
11.583000000000	-28.813467590926
11.602000000000	-28.915432762586
11.621000000000	-29.022418337794
11.640000000000	-29.133757193870
11.659000000000	-29.249349183611
11.678000000000	-29.369782534830
11.697000000000	-29.495988353713
11.716000000000	-29.628653709952
11.735000000000	-29.767787232205
11.754000000000	-29.912736130119
11.773000000000	-30.062656623489
11.792000000000	-30.217132100533
11.811000000000	-30.376520091398
11.830000000000	-30.541779426237
11.849000000000	-30.713879053249
11.868000000000	-30.893180958606
11.887000000000	-31.079219388315
11.906000000000	-31.271043562153
11.925000000000	-31.467913189549
11.944000000000	-31.669881678664
11.963000000000	-31.877854606394
11.982000000000	-32.093056887807
12.001000000000	-32.316251891818
12.020000000000	-32.547242621003
12.039000000000	-32.785015080405
12.058000000000	-33.028460208898
12.077000000000	-33.277202883475
